# CREATED_DATE: 2022-04-16T19:21:00.341Z
# MODIFIED_DATE: 2023-09-11T16:47:19.187Z
# STATUS: Following
# OBS_GROUP: Unknown
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: PSO J124334.645+113432.888; (12:43:34.63, +11:34:32.77)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2022hrs
# RA: 190.89306249999998
# DEC: 11.576630555555555
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2022-04-16T14:50:40Z
# REDSHIFT: 0.0047
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2022-04-13T05:08:10Z
# NON_DETECT_LIMIT: 19.32
# MW_EBV: 0.023
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: None
# SLUG: 2022hrs
# REAL_BOGUS_SCORE: None
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [12, 19, 22, 32, 47, 68, 90, 97]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59628.434  r-ZTF  943.624  699.414  20.063  0.805  None  P48  ZTF-Cam  None
OBS:      59636.464  r-ZTF  250.698  238.336  21.502  1.032  None  P48  ZTF-Cam  None
OBS:      59639.378  g-ZTF  -190.252  179.749  nan  -1.026  None  P48  ZTF-Cam  None
OBS:      59639.478  r-ZTF  -102.173  270.596  nan  -2.875  None  P48  ZTF-Cam  None
OBS:      59641.334  r-ZTF  371.576  186.280  21.075  0.544  None  P48  ZTF-Cam  None
OBS:      59641.381  g-ZTF  152.214  164.827  22.044  1.176  None  P48  ZTF-Cam  None
OBS:      59672.316  g-ZTF  -93.814  127.370  nan  -1.474  None  P48  ZTF-Cam  None
OBS:      59675.212  r-ZTF  134.749  235.993  22.176  1.902  None  P48  ZTF-Cam  None
OBS:      59675.333  g-ZTF  -178.448  168.851  nan  -1.027  None  P48  ZTF-Cam  None
OBS:      59677.300  g-ZTF  102.935  201.177  22.469  2.122  None  P48  ZTF-Cam  None
OBS:      59677.363  r-ZTF  -52.128  232.474  nan  -4.842  None  P48  ZTF-Cam  None
OBS:      59679.230  r-ZTF  -467.147  257.348  nan  -0.598  None  P48  ZTF-Cam  None
OBS:      59682.214  g-ZTF  645.897  377.698  20.475  0.635  None  P48  ZTF-Cam  None
OBS:      59682.316  r-ZTF  2350.520  366.416  19.072  0.169  None  P48  ZTF-Cam  None
OBS:      59687.369  r-ZTF  220926.197  568.101  14.139  0.003  None  P48  ZTF-Cam  None
OBS:      59689.296  g-ZTF  325812.731  1041.650  13.718  0.003  None  P48  ZTF-Cam  None
OBS:      59693.256  r-ZTF  814716.515  784.463  12.722  0.001  None  P48  ZTF-Cam  None
OBS:      59693.339  g-ZTF  711331.187  725.875  12.870  0.001  None  P48  ZTF-Cam  None
OBS:      59695.302  r-ZTF  981267.609  1526.148  12.521  0.002  None  P48  ZTF-Cam  None
OBS:      59697.255  g-ZTF  922640.391  754.407  12.587  0.001  None  P48  ZTF-Cam  None
OBS:      59699.249  g-ZTF  965331.441  797.071  12.538  0.001  None  P48  ZTF-Cam  None
OBS:      59699.292  r-ZTF  26396.645  238.908  16.446  0.010  None  P48  ZTF-Cam  None
OBS:      59701.297  g-ZTF  971331.141  859.576  12.532  0.001  None  P48  ZTF-Cam  None
OBS:      59701.352  g-ZTF  971097.830  875.541  12.532  0.001  None  P48  ZTF-Cam  None
OBS:      59707.254  r-ZTF  813134.288  830.851  12.725  0.001  None  P48  ZTF-Cam  None
OBS:      59707.254  r-ZTF  813134.288  830.851  12.725  0.001  None  P48  ZTF-Cam  None
OBS:      59709.219  r-ZTF  686238.701  744.137  12.909  0.001  None  P48  ZTF-Cam  None
OBS:      59709.254  r-ZTF  681630.629  746.569  12.916  0.001  None  P48  ZTF-Cam  None
OBS:      59713.318  g-ZTF  465334.687  8996.696  13.331  0.021  None  P48  ZTF-Cam  None
OBS:      59715.256  g-ZTF  399758.647  9332.574  13.496  0.025  None  P48  ZTF-Cam  None
OBS:      59719.207  r-ZTF  503226.536  11009.626  13.246  0.024  None  P48  ZTF-Cam  None
OBS:      59719.235  r-ZTF  495374.996  13271.728  13.263  0.029  None  P48  ZTF-Cam  None
OBS:      59722.215  g-ZTF  215754.549  3957.852  14.165  0.020  None  P48  ZTF-Cam  None
OBS:      59722.215  g-ZTF  215745.263  3957.676  14.165  0.020  None  P48  ZTF-Cam  None
OBS:      59722.276  g-ZTF  214624.806  4215.852  14.171  0.021  None  P48  ZTF-Cam  None
OBS:      59722.276  g-ZTF  214615.004  4215.569  14.171  0.021  None  P48  ZTF-Cam  None
OBS:      59724.213  g-ZTF  182072.826  6258.768  14.349  0.037  None  P48  ZTF-Cam  None
OBS:      59730.197  g-ZTF  112780.367  2468.992  14.869  0.024  None  P48  ZTF-Cam  None
OBS:      59730.216  r-ZTF  325346.882  8091.045  13.719  0.027  None  P48  ZTF-Cam  None
OBS:      59732.193  r-ZTF  283825.477  6694.449  13.867  0.026  None  P48  ZTF-Cam  None
OBS:      59734.197  g-ZTF  91685.304  2261.014  15.094  0.027  None  P48  ZTF-Cam  None
OBS:      59734.220  r-ZTF  250943.196  7657.152  14.001  0.033  None  P48  ZTF-Cam  None
OBS:      59736.195  r-ZTF  223320.428  6354.350  14.128  0.031  None  P48  ZTF-Cam  None
OBS:      59736.247  g-ZTF  87503.644  2408.694  15.145  0.030  None  P48  ZTF-Cam  None
OBS:      59741.191  g-ZTF  76555.696  1552.801  15.290  0.022  None  P48  ZTF-Cam  None
OBS:      59741.254  r-ZTF  183427.622  3892.591  14.341  0.023  None  P48  ZTF-Cam  None
OBS:      59743.280  g-ZTF  73804.819  1693.707  15.330  0.025  None  P48  ZTF-Cam  None
OBS:      59747.216  r-ZTF  151957.408  4396.451  14.546  0.031  None  P48  ZTF-Cam  None
OBS:      59747.282  g-ZTF  69977.881  1733.884  15.388  0.027  None  P48  ZTF-Cam  None
OBS:      59749.246  g-ZTF  67494.422  1632.975  15.427  0.026  None  P48  ZTF-Cam  None
OBS:      59751.207  g-ZTF  65644.648  1726.396  15.457  0.029  None  P48  ZTF-Cam  None
OBS:      59751.246  r-ZTF  132786.661  2935.180  14.692  0.024  None  P48  ZTF-Cam  None
OBS:      59753.193  r-ZTF  122711.781  3052.073  14.778  0.027  None  P48  ZTF-Cam  None
OBS:      59753.236  g-ZTF  63979.517  1737.235  15.485  0.029  None  P48  ZTF-Cam  None
OBS:      59756.266  g-ZTF  61373.251  1118.903  15.530  0.020  None  P48  ZTF-Cam  None
OBS:      59758.218  g-ZTF  60000.168  1646.519  15.555  0.030  None  P48  ZTF-Cam  None
OBS:      59758.269  r-ZTF  107229.870  2871.524  14.924  0.029  None  P48  ZTF-Cam  None
OBS:      59761.258  g-ZTF  56590.152  1179.530  15.618  0.023  None  P48  ZTF-Cam  None
