SNID: 2011by
#      sn2011by 
# Andy Friedman's Wstd file converted to SNANA-like format. 
# Source file: sn2011by__J_28_H_27_K_13__CfAIR2_friedman15.Wstd.dat 
# Metadata information from: carrick_Flow_corrections_snnames_v1.txt 
# Photometry and metadata compiled by Andrew S. Friedman (UCSD).
# write_all_filters = True. 
# Zeropoint of the converted SNANA file: 27.5 mag
#------------------------------------------------------------
# Data table created by: Arturo_Avelino
# On date: 2019.07.16 (yyyy.mm.dd); 14:32 hrs (ET). 
# Script used: 03_WstdAndy_to_SNANA.ipynb 
# Script version: 0.1.9 
#------------------------------------------------------------
SURVEY: UVEXT 
IAUC: 2011by 
RA: 178.94 deg 
DECL: 55.32611 deg 
MWEBV: 0.012 # MW E(B-V)
REDSHIFT_HELIO: 0.00284 +- 0.00000
REDSHIFT_CMB: 0.00340 +- 0.00000
VPEC: 75.428
VPEC_ERR: 250.000
SEARCH_PEAKMJD: 55690.918
FILTERS: UBVRIfhjkltyzAuxvwJHKCEFGZriWDLOX
#------------------------------------------------------------
NOBS: 186
NVAR: 7 
VARLIST:  MJD  FLT           FIELD       FLUXCAL         FLUXCALERR  MAG  MAGERR  
OBS: 55679.197 Bessell-B/B VOID 39540.3040 2502.9460 0 0
OBS: 55682.210 Bessell-B/B VOID 365190.9450 4412.9830 0 0
OBS: 55683.265 Bessell-B/B VOID 422785.4180 5416.5990 0 0
OBS: 55686.268 Bessell-B/B VOID 591234.8150 8112.0460 0 0
OBS: 55687.210 Bessell-B/B VOID 613027.5610 8967.6690 0 0
OBS: 55688.201 Bessell-B/B VOID 646427.7620 10042.6660 0 0
OBS: 55689.352 Bessell-B/B VOID 674031.2000 9248.0550 0 0
OBS: 55691.142 Bessell-B/B VOID 680643.9680 8720.2060 0 0
OBS: 55692.154 Bessell-B/B VOID 673596.7760 8997.2920 0 0
OBS: 55693.178 Bessell-B/B VOID 659963.6260 9654.2730 0 0
OBS: 55694.325 Bessell-B/B VOID 616481.4310 10415.3210 0 0
OBS: 55695.308 Bessell-B/B VOID 586732.3040 8583.0090 0 0
OBS: 55696.166 Bessell-B/B VOID 572216.0040 9408.3430 0 0
OBS: 55697.337 Bessell-B/B VOID 523600.4370 8134.4660 0 0
OBS: 55698.144 Bessell-B/B VOID 509565.4810 6991.5000 0 0
OBS: 55703.349 Bessell-B/B VOID 311114.3190 4466.4150 0 0
OBS: 55704.159 Bessell-B/B VOID 290857.3210 3990.7120 0 0
OBS: 55705.152 Bessell-B/B VOID 262204.4150 4049.7370 0 0
OBS: 55706.217 Bessell-B/B VOID 230547.2790 3372.5590 0 0
OBS: 55707.188 Bessell-B/B VOID 211173.7830 2993.3060 0 0
OBS: 55708.249 Bessell-B/B VOID 185763.3350 2565.6420 0 0
OBS: 55709.146 Bessell-B/B VOID 170090.4770 2503.6030 0 0
OBS: 55710.185 Bessell-B/B VOID 151858.8130 2235.2470 0 0
OBS: 55711.174 Bessell-B/B VOID 138203.8050 1921.3340 0 0
OBS: 55716.178 Bessell-B/B VOID 86004.2670 1203.4570 0 0
OBS: 55717.218 Bessell-B/B VOID 78162.7800 1093.7310 0 0
OBS: 55718.152 Bessell-B/B VOID 73356.7360 1053.1230 0 0
OBS: 55719.207 Bessell-B/B VOID 67130.5180 957.6440 0 0
OBS: 55721.160 Bessell-B/B VOID 59379.9740 922.5060 0 0
OBS: 55722.160 Bessell-B/B VOID 55934.5310 1061.3670 0 0
OBS: 55723.194 Bessell-B/B VOID 53431.8240 1013.8780 0 0
OBS: 55734.187 Bessell-B/B VOID 36458.6010 596.1470 0 0
OBS: 55735.174 Bessell-B/B VOID 33728.7310 594.2630 0 0
OBS: 55736.165 Bessell-B/B VOID 34520.7320 558.2050 0 0
OBS: 55739.176 Bessell-B/B VOID 32954.9000 571.6820 0 0
OBS: 55740.174 Bessell-B/B VOID 31567.4860 724.2460 0 0
OBS: 55743.176 Bessell-B/B VOID 30383.6540 620.4280 0 0
OBS: 55744.243 Bessell-B/B VOID 30591.4460 671.5550 0 0
OBS: 55682.206 Bessell-V/V VOID 349429.8490 4190.7290 0 0
OBS: 55691.140 Bessell-V/V VOID 684983.3260 8775.8000 0 0
OBS: 55692.155 Bessell-V/V VOID 685425.0940 9840.0910 0 0
OBS: 55694.322 Bessell-V/V VOID 669329.5520 9791.2830 0 0
OBS: 55695.305 Bessell-V/V VOID 658203.2160 9030.8870 0 0
OBS: 55696.163 Bessell-V/V VOID 637206.2110 11053.8820 0 0
OBS: 55697.334 Bessell-V/V VOID 614950.2750 8437.4340 0 0
OBS: 55698.141 Bessell-V/V VOID 601561.4530 8799.9380 0 0
OBS: 55703.348 Bessell-V/V VOID 456541.2250 6263.9800 0 0
OBS: 55705.235 Bessell-V/V VOID 411376.9940 5270.4380 0 0
OBS: 55707.185 Bessell-V/V VOID 370237.1550 6657.1430 0 0
OBS: 55711.171 Bessell-V/V VOID 301911.7390 4169.8090 0 0
OBS: 55717.215 Bessell-V/V VOID 225465.4500 2888.5950 0 0
OBS: 55723.192 Bessell-V/V VOID 160354.0750 2883.2870 0 0
OBS: 55724.209 Bessell-V/V VOID 149251.9450 2359.3170 0 0
OBS: 55725.228 Bessell-V/V VOID 142206.6810 2454.0480 0 0
OBS: 55734.185 Bessell-V/V VOID 100138.2510 1827.7290 0 0
OBS: 55735.171 Bessell-V/V VOID 98174.7940 1293.4850 0 0
OBS: 55736.163 Bessell-V/V VOID 94571.4400 1649.1290 0 0
OBS: 55739.173 Bessell-V/V VOID 87466.1480 1422.2650 0 0
OBS: 55740.171 Bessell-V/V VOID 84957.1630 1235.0850 0 0
OBS: 55743.173 Bessell-V/V VOID 77861.0040 1618.0000 0 0
OBS: 55744.240 Bessell-V/V VOID 77810.8210 1138.2550 0 0
OBS: 55682.203 USNO-r/r VOID 348337.3150 4462.7930 0 0
OBS: 55683.260 USNO-r/r VOID 410317.4620 5778.8320 0 0
OBS: 55686.263 USNO-r/r VOID 552993.4660 10393.2030 0 0
OBS: 55687.206 USNO-r/r VOID 574328.0130 10326.8500 0 0
OBS: 55689.346 USNO-r/r VOID 611730.3110 10335.0520 0 0
OBS: 55691.138 USNO-r/r VOID 621155.0210 7958.0510 0 0
OBS: 55692.149 USNO-r/r VOID 626613.8650 8027.9880 0 0
OBS: 55693.173 USNO-r/r VOID 629448.2060 9835.9490 0 0
OBS: 55694.320 USNO-r/r VOID 617959.4810 12116.6130 0 0
OBS: 55695.303 USNO-r/r VOID 608247.0340 9559.7970 0 0
OBS: 55697.332 USNO-r/r VOID 555648.3130 7623.7810 0 0
OBS: 55703.345 USNO-r/r VOID 382085.0100 5831.9850 0 0
OBS: 55704.161 USNO-r/r VOID 367756.1970 6911.7720 0 0
OBS: 55705.198 USNO-r/r VOID 351981.6320 4509.4830 0 0
OBS: 55706.212 USNO-r/r VOID 338501.0340 6637.1440 0 0
OBS: 55707.183 USNO-r/r VOID 331558.3730 5901.6860 0 0
OBS: 55708.244 USNO-r/r VOID 325237.0400 5936.2450 0 0
OBS: 55709.141 USNO-r/r VOID 320951.9360 5770.9570 0 0
OBS: 55710.181 USNO-r/r VOID 316723.2900 5207.5470 0 0
OBS: 55711.169 USNO-r/r VOID 311975.1480 4592.0390 0 0
OBS: 55717.213 USNO-r/r VOID 271969.3730 3731.5600 0 0
OBS: 55719.200 USNO-r/r VOID 253279.4770 3934.8580 0 0
OBS: 55724.207 USNO-r/r VOID 184824.6960 3473.6770 0 0
OBS: 55725.226 USNO-r/r VOID 174887.9950 3286.9220 0 0
OBS: 55734.183 USNO-r/r VOID 113177.4750 1604.2460 0 0
OBS: 55735.169 USNO-r/r VOID 108963.2380 1465.3330 0 0
OBS: 55736.161 USNO-r/r VOID 104385.4580 1583.8280 0 0
OBS: 55739.171 USNO-r/r VOID 94319.1760 1456.7560 0 0
OBS: 55740.169 USNO-r/r VOID 91419.7440 1362.2200 0 0
OBS: 55743.171 USNO-r/r VOID 82878.1410 1144.6590 0 0
OBS: 55744.238 USNO-r/r VOID 80123.5160 1121.1680 0 0
OBS: 55682.200 USNO-i/i VOID 292280.6070 3850.8920 0 0
OBS: 55683.258 USNO-i/i VOID 344825.9970 5169.4420 0 0
OBS: 55686.261 USNO-i/i VOID 439096.5250 10034.5770 0 0
OBS: 55687.204 USNO-i/i VOID 445861.5280 9827.8840 0 0
